[28004:30744:0309/143912.810:WARNING:chrome\browser\extensions\activity_log\activity_log_policy.cc:71] Scheduling init
[28004:30744:0309/143912.810:WARNING:chrome\browser\extensions\activity_log\activity_log_policy.cc:71] Scheduling init
[4772:15572:0309/143912.933:INFO:third_party\webrtc\rtc_base\cpu_info.cc:75] Available number of cores: 16
[19176:32780:0309/143912.967:INFO:third_party\webrtc\rtc_base\cpu_info.cc:75] Available number of cores: 16
[28004:956:0309/143913.006:INFO:chrome\common\importer\edge_chrome_importer_utils_win.cc:34] Google chrome user data path not found.
[28004:956:0309/143913.037:ERROR:chrome\browser\importer\edge_china_browsers\edge_qqbrowser_importer_utils_win.cc:163] QQBrowser user data path not found.
[6192:29916:0309/143913.102:VERBOSE1:components\viz\service\main\viz_main_impl.cc:86] VizNullHypothesis is disabled (not a warning)
[28004:30744:0309/143913.577:WARNING:chrome\browser\edge_pinned_sites\pinned_sites_cache.cc:256] Cache isn't initialized
[26112:17604:0309/143913.633:INFO:third_party\webrtc\rtc_base\cpu_info.cc:75] Available number of cores: 16
[28004:30744:0309/143913.731:WARNING:chrome\browser\edge_pinned_sites\pinned_sites_cache.cc:256] Cache isn't initialized
[28004:30744:0309/143913.977:WARNING:chrome\browser\edge_pinned_sites\pinned_sites_cache.cc:256] Cache isn't initialized
[28004:30744:0309/143914.022:WARNING:chrome\browser\edge_pinned_sites\pinned_sites_cache.cc:256] Cache isn't initialized
[28004:30744:0309/143915.501:WARNING:chrome\browser\edge_underside\underside_helper.cc:1134] If test does not need FrontLoad, this may be expected. SetFrontLoadDecision: 11
[28004:30744:0309/143932.964:INFO:CONSOLE:288] "after handle, fastLogin:  false", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
[28004:30744:0309/143932.964:INFO:CONSOLE:288] "端口14014连接失败，尝试下一个端口", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
[28004:30744:0309/143932.964:INFO:CONSOLE:288] "before handle, fastLogin:  false", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
[28004:30744:0309/143932.964:INFO:CONSOLE:288] "after handle, fastLogin:  false", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
[28004:30744:0309/143932.977:INFO:CONSOLE:288] "端口13014连接失败，尝试下一个端口", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
[28004:30744:0309/143932.977:INFO:CONSOLE:288] "before handle, fastLogin:  false", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
[28004:30744:0309/143932.977:INFO:CONSOLE:288] "after handle, fastLogin:  false", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
[28004:30744:0309/143932.978:INFO:CONSOLE:288] "端口13013连接失败，尝试下一个端口", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
[28004:30744:0309/143932.978:INFO:CONSOLE:288] "before handle, fastLogin:  false", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
[28004:30744:0309/143932.978:INFO:CONSOLE:288] "after handle, fastLogin:  false", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
[28004:30744:0309/143932.978:INFO:CONSOLE:288] "端口13015连接失败，尝试下一个端口", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
[28004:30744:0309/143932.978:INFO:CONSOLE:288] "before handle, fastLogin:  false", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
[28004:30744:0309/143932.978:INFO:CONSOLE:288] "after handle, fastLogin:  false", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
[28004:30744:0309/143932.979:INFO:CONSOLE:288] "fastLogin:  false", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
[28004:30744:0309/143932.979:INFO:CONSOLE:288] "请求结束: Mon Mar 09 2026 14:39:32 GMT+0800 (中国标准时间)", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
[28004:30744:0309/143932.979:INFO:CONSOLE:288] "请求时长: 2083 ms", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
[30252:20160:0309/143939.786:WARNING:net\extras\sqlite\sqlite_persistent_store_backend_base.cc:180] Failed to post task from FlushAndNotifyInBackground@net\extras\sqlite\sqlite_persistent_store_backend_base.cc:236 to client_task_runner_.
[30252:20160:0309/143939.786:WARNING:net\extras\sqlite\sqlite_persistent_store_backend_base.cc:180] Failed to post task from FlushAndNotifyInBackground@net\extras\sqlite\sqlite_persistent_store_backend_base.cc:236 to client_task_runner_.
